inv_number,customer_id,InvoiceDate,Stockcodenew,Description,new_quantity,UnitPrice,TotalPrice
538341,15514,03:00.0,22988,SOLDIERS EGG CUP,12,1.25,15
538343,13448,29:00.0,21166,COOK WITH WINE METAL SIGN,12,1.95,23.4
538343,13448,29:00.0,22311,OFFICE MUG WARMER BLACK+SILVER,6,2.95,17.7
538346,17865,53:00.0,21175,GIN + TONIC DIET METAL SIGN,12,2.1,25.2
538346,17865,53:00.0,21905,MORE BUTTER METAL SIGN,6,2.1,12.6
538346,17865,53:00.0,22924,FRIDGE MAGNETS LA VIE EN ROSE,12,0.85,10.2
538346,17865,53:00.0,85016,SET OF 6 VINTAGE NOTELETS KIT,6,2.55,15.3
538347,17220,54:00.0,21034,REX CASH+CARRY JUMBO SHOPPER,2,0.95,1.9
538347,17220,54:00.0,22689,DOORMAT MERRY CHRISTMAS RED,1,7.95,7.95
538347,17220,54:00.0,22746,POPPY'S PLAYHOUSE LIVINGROOM,2,2.1,4.2
538347,17220,54:00.0,22940,FELTCRAFT CHRISTMAS FAIRY,4,4.25,17
538347,17220,54:00.0,22960,JAM MAKING SET WITH JARS,3,4.25,12.75
538347,17220,54:00.0,22968,ROSE COTTAGE KEEPSAKE BOX,3,9.95,29.85
538349,NULL,59:00.0,20685,DOORMAT RED RETROSPOT,1,7.95,7.95
538349,NULL,59:00.0,20724,RED RETROSPOT CHARLOTTE BAG,2,1.66,3.32
538349,NULL,59:00.0,20727,LUNCH BAG  BLACK SKULL.,1,4.21,4.21
538349,NULL,59:00.0,21159,MOODY BOY  DOOR HANGER,2,3.36,6.72
538349,NULL,59:00.0,21162,TOXIC AREA  DOOR HANGER,2,3.36,6.72
538349,NULL,59:00.0,21166,COOK WITH WINE METAL SIGN,1,4.21,4.21
538349,NULL,59:00.0,21175,GIN + TONIC DIET METAL SIGN,5,4.21,21.05
538349,NULL,59:00.0,21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",1,11.02,11.02
538349,NULL,59:00.0,21217,RED RETROSPOT ROUND CAKE TINS,1,21.23,21.23
538349,NULL,59:00.0,21314,SMALL GLASS HEART TRINKET POT,5,4.21,21.05
538349,NULL,59:00.0,21352,EUCALYPTUS & PINECONE  WREATH,1,5.91,5.91
538349,NULL,59:00.0,21418,STARFISH SOAP DISH,1,5.06,5.06
538349,NULL,59:00.0,21428,SET3 BOOK BOX GREEN GINGHAM FLOWER,1,8.47,8.47
538349,NULL,59:00.0,21441,BLUE BIRDHOUSE DECORATION,1,1.66,1.66
538349,NULL,59:00.0,21556,CERAMIC STRAWBERRY MONEY BOX,1,5.06,5.06
538349,NULL,59:00.0,21627,ELEPHANT CARNIVAL POUFFE,1,29.79,29.79
538349,NULL,59:00.0,21679,SKULLS  STICKERS,2,1.66,3.32
538349,NULL,59:00.0,21733,RED HANGING HEART T-LIGHT HOLDER,1,5.91,5.91
538349,NULL,59:00.0,21754,HOME BUILDING BLOCK WORD,5,11.87,59.35
538349,NULL,59:00.0,21811,CHRISTMAS HANGING HEART WITH BELL,1,2.51,2.51
538349,NULL,59:00.0,21815,STAR  T-LIGHT HOLDER,1,2.98,2.98
538349,NULL,59:00.0,21846,PINK DIAMANTE PEN IN GIFT BOX,4,4.21,16.84
538349,NULL,59:00.0,21876,POTTERING MUG,1,3.36,3.36
538349,NULL,59:00.0,21891,TRADITIONAL WOODEN SKIPPING ROPE,2,2.51,5.02
538349,NULL,59:00.0,21935,SUKI  SHOULDER BAG,2,3.36,6.72
538349,NULL,59:00.0,22086,PAPER CHAIN KIT 50'S CHRISTMAS,19,2.95,56.05
538349,NULL,59:00.0,22132,RED LOVE HEART SHAPE CUP,1,1.66,1.66
538349,NULL,59:00.0,22161,HEART DECORATION RUSTIC HANGING,11,0.81,8.91
538349,NULL,59:00.0,22306,SILVER MUG BONE CHINA TREE OF LIFE,1,8.47,8.47
538349,NULL,59:00.0,22375,AIRLINE BAG VINTAGE JET SET BROWN,1,8.47,8.47
538349,NULL,59:00.0,22495,SET OF 2 ROUND TINS CAMEMBERT,1,5.91,5.91
538349,NULL,59:00.0,22550,HOLIDAY FUN LUDO,1,7.62,7.62
538349,NULL,59:00.0,22589,CARDHOLDER GINGHAM STAR,1,5.06,5.06
538349,NULL,59:00.0,22624,IVORY KITCHEN SCALES,2,16.98,33.96
538349,NULL,59:00.0,22668,PINK BABY BUNTING,1,5.91,5.91
538349,NULL,59:00.0,22676,FRENCH BLUE METAL DOOR SIGN 1,1,2.51,2.51
538349,NULL,59:00.0,22678,FRENCH BLUE METAL DOOR SIGN 3,1,2.51,2.51
538349,NULL,59:00.0,22694,WICKER STAR,4,4.21,16.84
538349,NULL,59:00.0,22725,ALARM CLOCK BAKELIKE CHOCOLATE,1,7.62,7.62
538349,NULL,59:00.0,22730,ALARM CLOCK BAKELIKE IVORY,3,7.62,22.86
538349,NULL,59:00.0,22738,RIBBON REEL SNOWY VILLAGE,1,3.36,3.36
538349,NULL,59:00.0,22754,SMALL RED BABUSHKA NOTEBOOK,1,0.84,0.84
538349,NULL,59:00.0,22755,SMALL PURPLE BABUSHKA NOTEBOOK,1,1.66,1.66
538349,NULL,59:00.0,22867,HAND WARMER BIRD DESIGN,5,4.21,21.05
538349,NULL,59:00.0,22890,NOVELTY BISCUITS CAKE STAND 3 TIER,1,20.38,20.38
538349,NULL,59:00.0,22942,CHRISTMAS LIGHTS 10 SANTAS,1,8.47,8.47
538349,NULL,59:00.0,22974,CHILDRENS DOLLY GIRL MUG,1,3.36,3.36
538349,NULL,59:00.0,35648,VINTAGE BEAD PINK PURSE,1,2.94,2.94
538349,NULL,59:00.0,35924,HANGING FAIRY CAKE DECORATION,1,4.21,4.21
538349,NULL,59:00.0,35971,ROSE FOLKART HEART DECORATIONS,1,2.51,2.51
538349,NULL,59:00.0,62094,TURQ ICE CREAM BUM BAG,2,5.06,10.12
538349,NULL,59:00.0,82599,FANNY'S REST STOPMETAL SIGN,1,4.21,4.21
538349,NULL,59:00.0,84032,CHARLIE+LOLA PINK HOT WATER BOTTLE,12,3.36,40.32
538349,NULL,59:00.0,84251,"GREETING CARD, STICKY GORDON",1,0.85,0.85
538349,NULL,59:00.0,84279,CHERRY BLOSSOM  DECORATIVE FLASK,1,8.47,8.47
538349,NULL,59:00.0,84375,SET OF 20 KIDS COOKIE CUTTERS,4,4.21,16.84
538349,NULL,59:00.0,84968,SET OF 16 VINTAGE BLACK CUTLERY,1,25.49,25.49
538349,NULL,59:00.0,84978,HANGING HEART JAR T-LIGHT HOLDER,1,2.51,2.51
538349,NULL,59:00.0,85066,CREAM SWEETHEART MINI CHEST,1,25.49,25.49
538349,NULL,59:00.0,85096,HILDA CANDY SPOT RABBIT,1,7.62,7.62
538349,NULL,59:00.0,85123,WHITE HANGING HEART T-LIGHT HOLDER,12,5.91,70.92
538349,NULL,59:00.0,85135,BLUE DRAGONFLY HELICOPTER,4,8.47,33.88
538349,NULL,59:00.0,90120,PINK MURANO TWIST BRACELET,1,4.24,4.24
538349,NULL,59:00.0,90183,AMBER DROP EARRINGS W LONG BEADS,1,2.96,2.96
538349,NULL,59:00.0,DOT,DOTCOM POSTAGE,1,907.47,907.47
538350,13798,01:00.0,20718,RED RETROSPOT SHOPPER BAG,3,1.06,3.18
538350,13798,01:00.0,20725,LUNCH BAG RED RETROSPOT,3,1.45,4.35
538351,NULL,17:00.0,20676,RED RETROSPOT BOWL,1,3.36,3.36
538351,NULL,17:00.0,20718,RED RETROSPOT SHOPPER BAG,19,3.36,63.84
538351,NULL,17:00.0,21481,FAWN BLUE HOT WATER BOTTLE,27,6.77,182.79
538351,NULL,17:00.0,21523,DOORMAT FANCY FONT HOME SWEET HOME,4,16.98,67.92
538351,NULL,17:00.0,21524,DOORMAT SPOTTY HOME SWEET HOME,2,16.98,33.96
538351,NULL,17:00.0,22069,BROWN  PIRATE TREASURE CHEST,2,4.21,8.42
538351,NULL,17:00.0,22075,6 RIBBONS ELEGANT CHRISTMAS,2,4.21,8.42
538351,NULL,17:00.0,22379,RECYCLING BAG RETROSPOT,12,5.06,60.72
538351,NULL,17:00.0,22652,TRAVEL SEWING KIT,8,4.21,33.68
538351,NULL,17:00.0,22737,RIBBON REEL CHRISTMAS PRESENT,4,4.21,16.84
538351,NULL,17:00.0,22835,HOT WATER BOTTLE I AM SO POORLY,8,11.02,88.16
538351,NULL,17:00.0,22952,60 CAKE CASES VINTAGE CHRISTMAS,25,2.13,53.25
538351,NULL,17:00.0,47591,PINK FAIRY CAKE CHILDRENS APRON,9,5.06,45.54
538351,NULL,17:00.0,48173,DOORMAT BLACK FLOCK,1,16.98,16.98
538351,NULL,17:00.0,84032,CHARLIE+LOLA PINK HOT WATER BOTTLE,16,5.91,94.56
538351,NULL,17:00.0,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,15,3.36,50.4
538351,NULL,17:00.0,84997,RED 3 PIECE RETROSPOT CUTLERY SET,14,8.47,118.58
538351,NULL,17:00.0,85049,TRADITIONAL CHRISTMAS RIBBONS,65,3.36,218.4
538353,13798,31:00.0,21231,SWEETHEART CERAMIC TRINKET BOX,144,1.06,152.64
538353,13798,31:00.0,21232,STRAWBERRY CERAMIC TRINKET BOX,144,1.06,152.64
538353,13798,31:00.0,22065,CHRISTMAS PUDDING TRINKET POT,48,1.25,60
538353,13798,31:00.0,22470,HEART OF WICKER LARGE,1,2.95,2.95
538353,13798,31:00.0,35924,HANGING FAIRY CAKE DECORATION,144,1.69,243.36
538353,13798,31:00.0,47559,TEA TIME OVEN GLOVE,100,1.06,106
538353,13798,31:00.0,47599,BLUE PARTY BAGS,100,1.69,169
538354,16873,45:00.0,20963,APPLE BATH SPONGE,10,1.25,12.5
538354,16873,45:00.0,20966,SANDWICH BATH SPONGE,10,1.25,12.5
538354,16873,45:00.0,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,4,12.75,51
538354,16873,45:00.0,21355,TOAST ITS - I LOVE YOU,12,1.25,15
538354,16873,45:00.0,22203,MILK PAN RED RETROSPOT,4,3.75,15
538354,16873,45:00.0,22492,MINI PAINT SET VINTAGE,144,0.65,93.6
538354,16873,45:00.0,22863,SOAP DISH BROCANTE,8,2.95,23.6
538354,16873,45:00.0,22966,GINGERBREAD MAN COOKIE CUTTER,24,1.25,30
538354,16873,45:00.0,37448,CERAMIC CAKE DESIGN SPOTTED MUG,12,1.49,17.88
538354,16873,45:00.0,48138,DOORMAT UNION FLAG,6,7.95,47.7
538356,14062,56:00.0,21464,DISCO BALL ROTATOR BATTERY OPERATED,4,4.25,17
538356,14062,56:00.0,22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,6,4.95,29.7
538357,13798,01:00.0,35924,HANGING FAIRY CAKE DECORATION,144,1.69,243.36
538358,NULL,09:00.0,84508,CAMOUFLAGE DESIGN TEDDY,1,2.55,2.55
538361,17757,36:00.0,22086,PAPER CHAIN KIT 50'S CHRISTMAS,6,2.95,17.7
538361,17757,36:00.0,22666,RECIPE BOX PANTRY YELLOW DESIGN,1,2.95,2.95
538363,18016,14:00.0,21034,REX CASH+CARRY JUMBO SHOPPER,3,0.95,2.85
538363,18016,14:00.0,22659,LUNCH BOX I LOVE LONDON,2,1.95,3.9
538364,14448,26:00.0,21865,PINK UNION JACK  PASSPORT COVER,1,2.1,2.1
538364,14448,26:00.0,72799,IVORY PILLAR CANDLE SILVER FLOCK,4,2.95,11.8
538365,17243,11:00.0,17091,LAVENDER INCENSE IN TIN,6,1.25,7.5
538365,17243,11:00.0,21755,LOVE BUILDING BLOCK WORD,2,5.95,11.9
538365,17243,11:00.0,82483,WOOD 2 DRAWER CABINET WHITE FINISH,6,5.95,35.7
538365,17243,11:00.0,84029,RED WOOLLY HOTTIE WHITE HEART.,4,3.75,15
538366,18109,47:00.0,21259,VICTORIAN SEWING BOX SMALL,6,5.95,35.7
538367,14800,48:00.0,20727,LUNCH BAG  BLACK SKULL.,10,1.65,16.5
538367,14800,48:00.0,20830,SILVER PHOTO FRAME,6,2.1,12.6
538367,14800,48:00.0,21479,WHITE SKULL HOT WATER BOTTLE,2,3.75,7.5
538367,14800,48:00.0,22554,PLASTERS IN TIN WOODLAND ANIMALS,24,1.65,39.6
538367,14800,48:00.0,22834,HAND WARMER BABUSHKA DESIGN,24,0.85,20.4
538368,15503,57:00.0,20828,GLITTER BUTTERFLY CLIPS,1,2.55,2.55
538368,15503,57:00.0,21679,SKULLS  STICKERS,1,0.85,0.85
538368,15503,57:00.0,21944,KITTENS DESIGN FLANNEL,2,0.85,1.7
538368,15503,57:00.0,22195,LARGE HEART MEASURING SPOONS,1,1.65,1.65
538368,15503,57:00.0,22196,SMALL HEART MEASURING SPOONS,1,0.85,0.85
538368,15503,57:00.0,22197,SMALL POPCORN HOLDER,1,0.85,0.85
538368,15503,57:00.0,22421,LIPSTICK PEN FUSCHIA,1,0.42,0.42
538368,15503,57:00.0,22493,PAINT YOUR OWN CANVAS SET,1,1.65,1.65
538368,15503,57:00.0,22533,MAGIC DRAWING SLATE BAKE A CAKE,1,0.42,0.42
538368,15503,57:00.0,22554,PLASTERS IN TIN WOODLAND ANIMALS,1,1.65,1.65
538368,15503,57:00.0,22726,ALARM CLOCK BAKELIKE GREEN,1,3.75,3.75
538369,17251,06:00.0,22453,MEASURING TAPE BABUSHKA BLUE,2,2.95,5.9
538370,16923,06:00.0,20718,RED RETROSPOT SHOPPER BAG,5,1.25,6.25
538370,16923,06:00.0,22835,HOT WATER BOTTLE I AM SO POORLY,3,4.65,13.95
538370,16923,06:00.0,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,2,0.85,1.7
538370,16923,06:00.0,22969,HOMEMADE JAM SCENTED CANDLES,24,1.45,34.8
538371,15570,07:00.0,22988,SOLDIERS EGG CUP,6,1.25,7.5
538371,15570,07:00.0,82486,WOOD S/3 CABINET ANT WHITE FINISH,2,7.95,15.9
538371,15570,07:00.0,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,5,2.55,12.75
538374,14159,17:00.0,20675,BLUE POLKADOT BOWL,1,1.25,1.25
538374,14159,17:00.0,22381,TOY TIDY PINK POLKADOT,3,2.1,6.3
538374,14159,17:00.0,22644,CERAMIC CHERRY CAKE MONEY BANK,3,1.45,4.35
538374,14159,17:00.0,22908,PACK OF 20 NAPKINS RED APPLES,1,0.85,0.85
538378,14577,26:00.0,20963,APPLE BATH SPONGE,10,1.25,12.5
538378,14577,26:00.0,20966,SANDWICH BATH SPONGE,10,1.25,12.5
538378,14577,26:00.0,21166,COOK WITH WINE METAL SIGN,2,1.95,3.9
538378,14577,26:00.0,84050,PINK HEART SHAPE EGG FRYING PAN,6,1.65,9.9
538379,17126,26:00.0,21034,REX CASH+CARRY JUMBO SHOPPER,1,0.95,0.95
538379,17126,26:00.0,21376,LARGE  TALL CAMPHOR WOOD TOADSTOOL,2,5.45,10.9
538379,17126,26:00.0,22920,HERB MARKER BASIL,1,0.65,0.65
538379,17126,26:00.0,22941,CHRISTMAS LIGHTS 10 REINDEER,1,8.5,8.5
538379,17126,26:00.0,22966,GINGERBREAD MAN COOKIE CUTTER,1,1.25,1.25
538382,17218,37:00.0,21116,OWL DOORSTOP,1,4.95,4.95
538382,17218,37:00.0,21464,DISCO BALL ROTATOR BATTERY OPERATED,1,4.25,4.25
538382,17218,37:00.0,21547,CERAMIC BIRDHOUSE CRESTED TIT SMALL,4,2.95,11.8
538382,17218,37:00.0,22551,PLASTERS IN TIN SPACEBOY,3,1.65,4.95
538382,17218,37:00.0,22694,WICKER STAR,2,2.1,4.2
538397,12753,44:00.0,21218,RED SPOTTY BISCUIT TIN,24,3.25,78
538397,12753,44:00.0,21381,MINI WOODEN HAPPY BIRTHDAY GARLAND,36,1.69,60.84
538397,12753,44:00.0,21717,EASTER TIN BUCKET,32,2.1,67.2
538397,12753,44:00.0,22619,SET OF 6 SOLDIER SKITTLES,32,3.75,120
538397,12753,44:00.0,22623,BOX OF VINTAGE JIGSAW BLOCKS,20,4.25,85
538397,12753,44:00.0,22651,GENTLEMAN SHIRT REPAIR KIT,96,0.85,81.6
538397,12753,44:00.0,22718,CARD CAT AND TREE,72,0.36,25.92
538397,12753,44:00.0,85017,ENVELOPE 50 BLOSSOM IMAGES,48,0.85,40.8
538403,17211,46:00.0,21820,GLITTER HEART GARLAND WITH BELLS,3,3.75,11.25
538403,17211,46:00.0,21821,GLITTER STAR GARLAND WITH BELLS,3,3.75,11.25
538403,17211,46:00.0,22792,FLUTED ANTIQUE CANDLE HOLDER,12,0.85,10.2
538403,17211,46:00.0,22891,TEA FOR ONE POLKADOT,3,4.25,12.75
538403,17211,46:00.0,84949,SILVER HANGING T-LIGHT HOLDER,12,1.65,19.8
538417,16393,54:00.0,21463,MIRRORED DISCO BALL,2,5.95,11.9
538417,16393,54:00.0,22892,SET OF SALT AND PEPPER TOADSTOOLS,12,1.25,15
538417,16393,54:00.0,47591,SCOTTIES CHILDRENS APRON,3,1.65,4.95
538418,17372,00:00.0,21212,PACK OF 72 RETROSPOT CAKE CASES,2,0.55,1.1
538418,17372,00:00.0,22417,PACK OF 60 SPACEBOY CAKE CASES,2,0.55,1.1
538418,17372,00:00.0,22572,ROCKING HORSE GREEN CHRISTMAS,2,0.85,1.7
538418,17372,00:00.0,22965,3 TRADITIONAl BISCUIT CUTTERS  SET,2,2.1,4.2
538418,17372,00:00.0,84754,S/15 SILVER GLASS BAUBLES IN BAG,2,1.25,2.5
538418,17372,00:00.0,84992,72 SWEETHEART FAIRY CAKE CASES,2,0.55,1.1
538419,16367,01:00.0,21411,GINGHAM HEART  DOORSTOP RED,1,4.25,4.25
538419,16367,01:00.0,21983,PACK OF 12 BLUE PAISLEY TISSUES,2,0.29,0.58
538419,16367,01:00.0,22554,PLASTERS IN TIN WOODLAND ANIMALS,1,1.65,1.65
538419,16367,01:00.0,22927,GREEN GIANT GARDEN THERMOMETER,1,5.95,5.95
538421,17917,08:00.0,20665,RED RETROSPOT PURSE,1,2.95,2.95
538421,17917,08:00.0,20670,VIP HOLIDAY PURSE,1,2.95,2.95
538421,17917,08:00.0,22729,ALARM CLOCK BAKELIKE ORANGE,1,3.75,3.75
538421,17917,08:00.0,84997,BLUE 3 PIECE POLKADOT CUTLERY SET,3,3.75,11.25
538437,16010,18:00.0,20681,PINK POLKADOT CHILDRENS UMBRELLA,1,3.25,3.25
538437,16010,18:00.0,21408,SPOTTY PINK DUCK DOORSTOP,1,4.25,4.25
538437,16010,18:00.0,21411,GINGHAM HEART  DOORSTOP RED,1,4.25,4.25
538437,16010,18:00.0,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,1,3.75,3.75
538449,17085,24:00.0,21181,PLEASE ONE PERSON METAL SIGN,4,2.1,8.4
538449,17085,24:00.0,21876,POTTERING MUG,3,1.25,3.75
538449,17085,24:00.0,22372,AIRLINE BAG VINTAGE WORLD CHAMPION,2,4.25,8.5
538449,17085,24:00.0,22412,METAL SIGN NEIGHBOURHOOD WITCH,2,2.1,4.2
538449,17085,24:00.0,22834,HAND WARMER BABUSHKA DESIGN,6,2.1,12.6
538449,17085,24:00.0,37449,CERAMIC CAKE STAND + HANGING CAKES,1,9.95,9.95
538449,17085,24:00.0,72741,GRAND CHOCOLATECANDLE,9,1.45,13.05
538453,16779,26:00.0,21866,UNION JACK FLAG LUGGAGE TAG,1,1.25,1.25
538453,16779,26:00.0,72807,SET/3 OCEAN SCENT CANDLE JEWEL BOX,1,4.25,4.25
538473,13668,35:00.0,82605,OLD DOC RUSSEL METAL SIGN,4,2.1,8.4
538488,13715,41:00.0,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,5,3.75,18.75
538488,13715,41:00.0,22621,TRADITIONAL KNITTING NANCY,4,1.45,5.8
538488,13715,41:00.0,82484,WOOD BLACK BOARD ANT WHITE FINISH,2,6.45,12.9
538497,14684,44:00.0,17090,LAVENDER INCENSE 40 CONES IN TIN,1,1.25,1.25
538497,14684,44:00.0,20981,12 PENCILS TALL TUBE WOODLAND,1,0.85,0.85
538497,14684,44:00.0,21931,JUMBO STORAGE BAG SUKI,1,1.95,1.95
538497,14684,44:00.0,22694,WICKER STAR,4,2.1,8.4
538497,14684,44:00.0,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,1,3.75,3.75
538497,14684,44:00.0,22753,SMALL YELLOW BABUSHKA NOTEBOOK,2,0.85,1.7
538497,14684,44:00.0,85123,WHITE HANGING HEART T-LIGHT HOLDER,1,2.95,2.95
538503,17188,56:00.0,22511,RETROSPOT BABUSHKA DOORSTOP,8,1.25,10
538507,15547,26:00.0,21730,GLASS STAR FROSTED T-LIGHT HOLDER,5,4.95,24.75
538507,15547,26:00.0,21870,I CAN ONLY PLEASE ONE PERSON MUG,6,1.25,7.5
538507,15547,26:00.0,22072,RED RETROSPOT TEA CUP AND SAUCER,1,3.75,3.75
538507,15547,26:00.0,22161,HEART DECORATION RUSTIC HANGING,38,0.65,24.7
538507,15547,26:00.0,22227,HANGING HEART MIRROR DECORATION,18,0.65,11.7
538507,15547,26:00.0,22294,HEART FILIGREE DOVE  SMALL,24,1.25,30
538507,15547,26:00.0,22339,CHRISTMAS TREE PAINTED ZINC,2,0.65,1.3
538507,15547,26:00.0,22791,T-LIGHT GLASS FLUTED ANTIQUE,15,1.25,18.75
538508,15998,32:00.0,21217,RED RETROSPOT ROUND CAKE TINS,2,9.95,19.9
538508,15998,32:00.0,21472,LADYBIRD + BEE RAFFIA FOOD COVER,6,3.75,22.5
538508,15998,32:00.0,21485,RETROSPOT HEART HOT WATER BOTTLE,2,4.95,9.9
538508,15998,32:00.0,21833,CAMOUFLAGE LED TORCH,6,1.69,10.14
538508,15998,32:00.0,22301,COFFEE MUG CAT + BIRD DESIGN,2,2.55,5.1
538508,15998,32:00.0,22505,MEMO BOARD COTTAGE DESIGN,2,4.95,9.9
538508,15998,32:00.0,22534,MAGIC DRAWING SLATE SPACEBOY,4,0.42,1.68
538508,15998,32:00.0,22536,MAGIC DRAWING SLATE PURDEY,4,0.42,1.68
538508,15998,32:00.0,22654,DELUXE SEWING KIT,2,5.95,11.9
538508,15998,32:00.0,22752,SET 7 BABUSHKA NESTING BOXES,3,8.5,25.5
538508,15998,32:00.0,22812,PACK 3 BOXES CHRISTMAS PANNETONE,6,1.95,11.7
538508,15998,32:00.0,22893,MINI CAKE STAND T-LIGHT HOLDER,12,0.42,5.04
538508,15998,32:00.0,22932,BAKING MOULD TOFFEE CUP CHOCOLATE,2,2.55,5.1
538508,15998,32:00.0,84030,ENGLISH ROSE HOT WATER BOTTLE,1,4.25,4.25
538508,15998,32:00.0,84375,SET OF 20 KIDS COOKIE CUTTERS,4,2.1,8.4
538509,14413,37:00.0,22890,NOVELTY BISCUITS CAKE STAND 3 TIER,1,9.95,9.95
538510,18004,47:00.0,22735,RIBBON REEL SOCKS AND MITTENS,1,1.65,1.65
538510,18004,47:00.0,22925,BLUE GIANT GARDEN THERMOMETER,1,5.95,5.95
538510,18004,47:00.0,84879,ASSORTED COLOUR BIRD ORNAMENT,1,1.69,1.69
538511,13959,56:00.0,21041,RED RETROSPOT OVEN GLOVE DOUBLE,5,2.95,14.75
538511,13959,56:00.0,84520,PACK 20 ENGLISH ROSE PAPER NAPKINS,5,0.85,4.25
538512,16665,03:00.0,22424,ENAMEL BREAD BIN CREAM,2,12.75,25.5
538513,15454,21:00.0,21485,RETROSPOT HEART HOT WATER BOTTLE,1,4.95,4.95
538513,15454,21:00.0,22112,CHOCOLATE HOT WATER BOTTLE,2,4.95,9.9
538513,15454,21:00.0,22127,PARTY CONES CARNIVAL ASSORTED,12,1.25,15
538513,15454,21:00.0,22585,PACK OF 6 BIRDY GIFT TAGS,2,1.25,2.5
538513,15454,21:00.0,22639,SET OF 4 NAPKIN CHARMS HEARTS,2,2.55,5.1
538513,15454,21:00.0,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,2,2.95,5.9
538514,15044,27:00.0,21498,RED RETROSPOT WRAP,25,0.42,10.5
538514,15044,27:00.0,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,1,8.5,8.5
538514,15044,27:00.0,22175,PINK OWL SOFT TOY,2,2.95,5.9
538514,15044,27:00.0,48111,DOORMAT 3 SMILEY CATS,2,7.95,15.9
538514,15044,27:00.0,48116,DOORMAT MULTICOLOUR STRIPE,1,7.95,7.95
538515,17937,43:00.0,22635,CHILDS BREAKFAST SET DOLLY GIRL,24,8.5,204
538517,17618,05:00.0,20676,RED RETROSPOT BOWL,5,1.25,6.25
538517,17618,05:00.0,21164,HOME SWEET HOME METAL SIGN,4,2.95,11.8
538517,17618,05:00.0,21232,STRAWBERRY CERAMIC TRINKET BOX,8,1.25,10
538517,17618,05:00.0,21248,DOOR HANGER  MUM + DADS ROOM,1,1.45,1.45
538517,17618,05:00.0,22645,CERAMIC HEART FAIRY CAKE MONEY BANK,2,1.45,2.9
538518,14505,14:00.0,21098,CHRISTMAS TOILET ROLL,1,1.25,1.25
538518,14505,14:00.0,21164,HOME SWEET HOME METAL SIGN,4,2.95,11.8
538518,14505,14:00.0,21481,FAWN BLUE HOT WATER BOTTLE,4,2.95,11.8
538518,14505,14:00.0,21609,SET 12 LAVENDER  BOTANICAL T-LIGHTS,2,2.95,5.9
538518,14505,14:00.0,21868,POTTING SHED TEA MUG,1,1.25,1.25
538518,14505,14:00.0,21873,IF YOU CAN'T STAND THE HEAT MUG,1,1.25,1.25
538518,14505,14:00.0,21875,KINGS CHOICE MUG,2,1.25,2.5
538518,14505,14:00.0,22129,PARTY CONES CANDY TREE DECORATION,24,0.85,20.4
538518,14505,14:00.0,22142,CHRISTMAS CRAFT WHITE FAIRY,3,1.45,4.35
538518,14505,14:00.0,22156,HEART DECORATION WITH PEARLS,4,0.85,3.4
538518,14505,14:00.0,22360,GLASS JAR ENGLISH CONFECTIONERY,1,2.95,2.95
538518,14505,14:00.0,22362,GLASS JAR PEACOCK BATH SALTS,1,2.95,2.95
538518,14505,14:00.0,22469,HEART OF WICKER SMALL,1,1.65,1.65
538518,14505,14:00.0,22752,SET 7 BABUSHKA NESTING BOXES,1,8.5,8.5
538518,14505,14:00.0,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,5,2.95,14.75
538518,14505,14:00.0,22914,BLUE COAT RACK PARIS FASHION,1,4.95,4.95
538518,14505,14:00.0,47369,PINK GREEN EMBROIDERY COSMETIC BAG,2,2.95,5.9
538518,14505,14:00.0,84879,ASSORTED COLOUR BIRD ORNAMENT,8,1.69,13.52
538518,14505,14:00.0,85061,WHITE JEWELLED HEART DECORATION,16,0.85,13.6
538518,14505,14:00.0,90036,"FLOWER GLASS GARLD NECKL36""AMETHYST",1,7.95,7.95
538523,13198,29:00.0,22537,MAGIC DRAWING SLATE DINOSAUR,24,0.42,10.08
538523,13198,29:00.0,22539,MINI JIGSAW DOLLY GIRL,24,0.42,10.08
538524,NULL,35:00.0,10125,MINI FUNKY DESIGN TAPES,1,1.66,1.66
538524,NULL,35:00.0,17038,PORCELAIN BUDAH INCENSE HOLDER,2,0.85,1.7
538524,NULL,35:00.0,20733,GOLD MINI TAPE MEASURE,1,0.85,0.85
538524,NULL,35:00.0,20846,ZINC HEART LATTICE T-LIGHT HOLDER,1,2.51,2.51
538524,NULL,35:00.0,20961,STRAWBERRY BATH SPONGE,3,2.51,7.53
538524,NULL,35:00.0,21002,ROSE DU SUD DRAWSTRING BAG,2,3.36,6.72
538524,NULL,35:00.0,21156,RETROSPOT CHILDRENS APRON,1,4.21,4.21
538524,NULL,35:00.0,21165,BEWARE OF THE CAT METAL SIGN,4,4.21,16.84
538524,NULL,35:00.0,21169,YOU'RE CONFUSING ME METAL SIGN,1,4.21,4.21
